@RELATION konu
@ATTRIBUTE text  String
@ATTRIBUTE konu   {fiyat,kargo,urun,ssh,personel,magaza,reklam,websitesi,yok}
@Data
'olivetti firmasinin italyada uyusturucu isine karisip yazicilar,yazar kasalar icinde uyusturucu tasimaciligi yaptigi anlasildiktan sonra iflas etmesi ve vatan bilgisayarin ya batarim ya cikarim dedikten sonra varini yogunu olivettinin elinde kalan mallara yatirmasi sonucu baslayan bir hikaye,bunlari topkapi hiperstore si acilmadan once incirlideki magazasinin altindaki buyukce alana yigmis sonrasinda kampanyalara baslamistir , olivetti notebook su kadar olivetti yazici su kadar diyerek boy boy ilanlar vermistir, etkili olup kazanmis ve sonrasinda acer in turkiyedeki isim hakkini almistir, sanirim ihlas ile birlikte aldilar ve sonrasinda vatan tek kaldi bu iste, daha sonra 2000 krizi patlak verdiginde 1 milyon dolar yatirip su anda topkapida olan hiperstore nin bulundugu topragi almistir, buradaki bina o zamanlar yikik dokkuk olarak mevcuttu ve tinerciler ile evsizlerin birde kopeklerin mekani olmustu, icerisi bir guzel temizletilip bugunku haline getirildikten sonra acilisina bircok taninmis is adami katilmistir sebebi hasan vatan in babasindan kaynaklanan cok buyuk bir cevreye sahip olmasidir. bilmemne is adamlari derneginin o donem baskani olan babasi sayesinde reklamin iyisi kotusu olmaz deyip para verip asla bir araya getiremeyeceginiz insanlari bir araya getirerek herkezin ne yapiyor bu adam manyakmi soylemleri arasinda acilisini yapmistir. sonrasinda finans bank ile bir anlasmaya girip once 9 ay sonrasinda 12 ay taksitli satislara baslamistir, insanlara cazip gelen pesin fiyatina taksit gibi gorunen fiyatlardir, ama aslinda bu vade farki fiyatlara pesinen yansitilmistir, bir bakaklin siparisi ile bir marketin siparisinin arasindaki fiyat farki gibi surumden kazanma mantigina dayali olarak bir cok insandan daha ucuza mal ettigi urunlere vade farkini pesinen koyup cazipmis gibi gostermistir.genellikle aradiginiz iyi markalari burada bulamazssiniz, cunku onlarin kar marjlari cok dusuktur, satis sonrasi musteri memnuniyeti yok denecek kadar azdir, calisan elemanlarin buyuk bir cogunlugu alacaklari primi dusunerek bilip bilmeden yalan dolan bilgilerle musterileri kaziklamaya calismaktadirlar, genellikle elde kalan satilmayan bir urunu iyi gibi gosterip isi bilmeyen insanlara satarak cok rahat bir uyku uyurlar. bir pc sattiklarinda kendi elemanlari gidip kurdugu halde pc de sorun ciktiginda problemi kabullenmeyip kullanici hatasi diyecek kadar curetkar bir firmadir.',fiyat
'tezgahtar, satis temsilcisi her neyse, urunu size satmaya calisan insanlarin ukalalik yaptigi, ve her seferinde acilmis yada kullanilmis urunu verdikleri bilgisayar dukkani. p.s. daha once acilmis olarak aldigim, (aman neyse ugrasmiyim simdi diyerek) adsl modemin yanmasi sonucu, farkli bir marka modem aldim eve geldim ve buda acilmisti, eve gelis saatim cok gec oldugu icin ancak gecenin bir yarisi farkettim bunu. ** *',urun
'http://www.vatancomputer.com/',magaza
'urunleri cardfinans ile yapilan odemelerde pesin fiyatina 12 taksit ile satan firma',fiyat
'sevemedim gitti şu firmayı. bir çok defa karşı karşıya geldik..',yok
'uzak durulması gereken firmalardandır.. sattıkları birçok bilgisayar ürünü bir iki ay içinde arızalanmaktadır.',urun
'sitesinde stokta var görünen * ürünü gidip de  elimizde yok  diyerek sizi uyuz eden ciddiyetsiz firma. bakıyorum hala da stokta var diyor, yahu bir de internet üzerinden satış yapmaya çalışıyorsun. ta topkapıya gittiğime mi yanayım elim boş döndüğüme mi? ciks bir mekandır kendileri ayrıca.',urun
'show tv  de yayınlanan silikon vadisi adlı programın çekildiği dandik bilgisayar şirketi. öyle destek veriyoruz, böyle destek veriyoruz, yanında bir de bilgisayar öğretiyoruz diye bir iddiaları vardı. yamuluyorsam düzeltin.',ssh
'ilk olarak bana kenarı kırılmış bir hp scanner satan, değiştirmek için gittiğimde vitrindekini vermişlerdir diyebilecek kadar pişkin olan, verdikleri ikinci scannerın da bozuk çıkması üzerine geri götürdüğümde ise tüm parçaları tam olmasına rağmen eksik olduğunu iddia eden, bozukluğun nerde olduğunu anlamak için scannerı kurmaya çalışıp kuramayan ve benden yardım isteyen, bu model bir scannerı çok mu aradığımı soracak kadar da samimi çalışanlara sahip olan bir güzel firma.',urun
'asus cdrw mi 2.kez tamir için götürmem sonrasında ancak 25.günde tamir edip bana veren ve tüm çalışanlarının zerre kadar bilgisayar bilgisi olmadığı firma. özellikle amd sistemler toplayamayan teknik servisi olduğundan amd sistemleri pek satmak istemezler. lakin satış sonrası birkaç gün geçmeden işlemci yanmış şekilde müşteri tarafından tekrar bu firmaya getirilmekte. (bkz: haklı eleştiride bulunmak) gold pc bile bundan iyidir.*',urun
'sattiklari tum urunler kullanilmis ustelik bozuk olan dunyanin en tuhaf teknik servis anlayisina sahip firma. akli olanin onunden dahi gecmemesi gerektigi bariz bir gercektir.',urun
'sitelerinde  vatanda her sey 12 taksit  gibi nal bir yazı yazan ama onun kenarına kücücük fontlarla  sadece cardfinanslarına  yazacak kadar müsteriyi aptal göre kurulus. kardesim sunu doğru düzgün neden yazmıyorsun. ben oraya gelince  aa öyle mi sizin cardfinans ınız yok mu? doldurun su formu  demek için mi! bu ne iştir böyle!',fiyat
'satis yapmakla gorevli elemanlarini acilen upgrade etmesi gereken firma. ne sattigini bilmeyen satici olmaz, olamaz, olmamali. yıllar sonra gelen edit: gördüğüm kadarıyla ilerleme var. şimdiki personel gayet olaya vakıf.',personel
'regal marka bir bilgisayari satmak icin yan tarafta bulunan hp marka urunu kotuleyebilen bir satis anlayisina sahip firmadir.',urun
'bu haftasonu gazatede 599$ a acer notebook verdiğini görünce şaşırtan, gidip sorunca aslında öyle bir ürün olmadığını öğrendiğimde daha da şaşırtan kuruluş.sonuç olarak satmadıkları bir ürüne abuk bir fiyat koyup insanları mağazalarına çekiyorlar sonra da başka ürünler satmaya çalışıyorlar. çalışanlarının bir ürünü kötüleyip başka bir ürünü satmaya çalışmaları da tam bir facia.örneğin bana açık açık datronun iyi olmadığını söyleyip hp satmaya çalıştılar.satışta bu kadar kötü olan bir şirketin serviste nasıl olabileceğini tahmin etmek dahi istemiyorum.',fiyat
'?modemimi önce, sağlam bu sen yapamamışsın turk telekomda beceremiyor zaten bu adsl işini, diye geri veren.ertesi gün kasayla götürdüğümde modem bozuk diye değiştiren (bu arada bilgisayarın bütün disklerine adsl modem çalıştırırken format(?) atan -müzik film uçtuuu!ve orada imzaladığım şeyde yazıyormuş bilgi kayıplarından zorumlu değiliz diye yaa yaa.).yeni verdikleri modemde çalışmayınca dün bana aynı lafları eden, bugün kasayı yine götürüp yine göt edeceğim teknik servis demeye dilimin varmadığı içinde balıkların çalıştığını düşündüğüm, janjanlı bi binaya toplanmış kendilerini profosyonel sanan paraya tapan öküzlerin yönettiği kurum. ayrıca teknik serviste deli kuyruk olduğu için bu dediklerim 1 hafta içinde ancak gerçekleşti, bu böyle gider gibi de geliyor. başka yerden yeni modem alıcam. siz de öyle yapın. kanmayın taksitlere adam gibi bi yerden alın modeminizi bilgisayarınızı.',fiyat
'saçma sapan bir satış/ödeme sistemine sahip firma. malı önce reyonda seçiyorsunuz. reyondaki bilgisayarda stok çıkışının yapılması gerekiyor. görevli eğer sistem çalışıyorsa bunu gerçekleştiriyor. ardından kasaya geçip uzuuun sıraya girip ödeme yapmak gerekiyor. tabi ürün sizden önce oraya gönderilmiş olmalı. eğer iki farklı reyondan satınalma yaptıysanız ve ürünler farklı kasalara gittiyse ürünlerin birleştirilmesi tamamen sizin sorumluluğunuzda. sizden her iki kasanın sırasına da girmeniz bekleniyor. beklememek için arıza çıkarmak gerekli. herneyse.. sıra size geldiğinde de eğer hala sistem çalışır durumdaysa ödemeyi yapıp faturanızı alıyorsunuz. sistemin çalıştığı çok nadir görülüyor olsa gerek ki görevlilerin alışık tavırları göze çarpıyor. normal frog hareket hızımla 5 dakikamı harcayacağım bir alışveriş için 45 dakikamı geçirdiğim bostancı mağazasında alışık ve günahsız kasiyerlere kustuğum öfkemi kusacak bir yönetici de bulamamış olmak bu mağazaya bir daha gitmeme engel olacak bir diğer faktör.',urun
'istanbul da bulunan her bir metro grossmarket, teknosa, evkur, gold bilgisayar ve vatan bilgisayar ı kapsayan şubelerindeki 6 aylık çalışma sürecim sonucu bilgisayar alınacak en güvenli ve en kaliteli kurum olduğuna kanaat getirdiğim yer. müşteri ilişkileri son derece profesyonel, ürün konusunda hemen her eleman bilgili, teknik servis ve satış sonrası destekleri eğerki angut bir elemana denk gelmezseniz son derece tatmin edici. ancak alışveriş için asla ve asla haftasonu gidilmemelidir, insanların aç kurtlar gibi saldırdığı mağazada çalışanlar bir süre sonra insani sabırlarını kaybedip asabileşebiliyor yahut hata yapabiliyor, sistem ise öğlen 2 den sonra şöküyor ve haliyle sizin de sinirleriniz şey oluyo...yıpranıyor. hafta içi gidip paşa paşa ürünü almak en karlısıdır daima.',urun
'compusa  in turkiye versiyonu . 16 ay  a kadar vade farkı olmayan taksit imkanı sunuyorlar. tavsiye edilir.',fiyat
'internetten alisveris hizmeti 0 (yaziyla sifir) hatta ne sifiri eksi olan bilgisayar seysi. pazartesi siparis verdigim dvd player, ups nin de katkilariyla istanbul turu yaptiktan sonra bugun elime ulasacak insallah. tabi o playerdan hayir gelirse artik. ve hatta urun bana ulasacak mi oda ayrı bi merak konusu. zira bu sabah baktim saskin ups nin interinet sayfasında urun adana-aırp subesine gitmis gozukuyor! (bkz: yasasin ideefixe) (bkz: yasasin yurt ici kargo)',kargo
'(bkz: vatan bilgisayar derhal sözlüğe format atsın) (bkz: bi yerde bi hata yapıyorum ama)',yok
'(bkz: süper olay) 1.gün: anakart, cpu, ram, disk, cdrom ve kasa alınır. montajı yapılır sistem çalışmaz. 2.gün: vatan bilgisayara getirilir. q maticden sıra numarası alınır. sıra beklenir, sıra gelir yanlış yerden numara alınmıştır yeni numara alınır, sıra beklenir, sıra gelir, kayıt yapılır. kayıt esnasında kasa üzerinde bir parmak izi almadıkları kalır otu boku incelenir ışığa tutulur bezle silinir bik bik bik. montajı kendimiz yaptığımız için anında değişim yapılmaz. 5.gün: telefon ile bilgi alınmaya çalışılır, meşgul meşgul meşgul. ( gün içinde 3–4 defa aranır aynı sonuç) 6.gün: telefon il bilgi alınmaya çalışır, meşgul, meşgul, aha açtılar. 30 (abartmazsak 5) kişi ile görüşülüp dert anlatılmaya çalışılır. eldeki arıza kaydı numarası bir boka yaramamakta, her bağlanan kişiye firma isminden sorunun detaylı açıklamasına kadar bilgi verilmektedir. power supply arızalı olduğu öğrenilir, daha sonra biz sizi ararız derler. 10.gün: arayan soran yoktur. 5. ve 6.gün başa gelenler daha acı verir bir şekilde tekrarlanır ve anakartın da arızalı olduğu öğrenilir. anakart ithalatçıya gönderilecektir. aramam iyi olmuştur hatırlatmışımdır onlara bu gönderme işlemini. 15, 20, 25, 30. günler herhangi bir ses seda yoktur, telefon ile ulaşma girişimleri sonuçsuz kalmaktadır. 31.gün: bu uğurlu günde vatan bilgisayara gidilir. sıra numarası alınır. sıra gelir. yine yanlış sıra numarası alınmıştır yeni numara alınır sıra beklenir. sıra gelince bir türlü kasa bulunamaz. sonunda kasa bir yerden çıkar ve anakartın değişemediği o yüzden iade edilip yeni anakart takılacağı söylenir. aynı anakart artık üretilmediği için ( ne de olsa bir ay geçti) iade işlemi karmaşıktır. iade faturası gereklidir ve orijinali gerekir, şirkete gidilir iade faturası kestirilir gelinir, sıra numarası alınır , (bu defa doğru) iade fişi alınır. mağaza kısmından yeni anakart alınır (almak nedense inanılmaz kolay) anakart verilir. işleri yoğun olduğundan o gün yetişmez. biz sizi ararız derler. 32. gün: ses yok 33.gün: ses yok 34.gün: bölümler halinde incelenir bölüm 1 telefon ile ulaşılır sistemin hazır olduğu öğrenilir. tabiî ki arayıp ulaşmak ve derdimi 5 kişiye yine anlatmam gerekir. sıra numarası alınır sıra beklenir (lan sikim yine yanlış numara almışım) yine numara alınır, sıra gelir. sistem teslim alınır. bölüm 2 şirkete gidilir. fişe takılır sistem yine arızalıdır (burada ciddi bir gülme krizine girmişim arkadaşlar sonradan söylediler). gerisin geriye bölüm 3 vatan bilgisayara dönülür. sıra numaralarının hepsi alınır (etraftakilerin pis pis bakmasına aldırmadan) sıra gelir, hafif sinirli bir biçimde kaydı alınır ( 2 saat önce teslim ettikleri kasayı yine bin bir hengâme ile teslim alırlar, parmak izi kontrolü yapmadıkları kalmıştır). 20–25 dakika beklenir hala ses yoktur. teknik servise dalınır. ve orda sistemin çalıştığı görülür. kafayı yemek üzereyken olaya müdahale edilir. kasaya ufak bir dokunmamla sistem yine göçer. oradaki servis görevlisi de şok olmuştur. sistem de bir temassızlık vardır ve sadece ben dokununca bozulmaktadır.(cenabetsem şerefsizim). uzun uğraşlar sonucu anakartın boku bokuna değiştiği ortaya çıkar. yeni takılan power supply da bozuktur. zaten üzerindeki etiketlerden barizdir. en yeni power supply bin bir rica ile hemen takılır ve uzaklaşılır. sistem halen windows kurulmamış bir biçimde şirkette beklemektedir, kurmaya cesaretim yok. edit: gold pcyi kötü bilirdik bir de, neler varmış meğer.',urun
'satış sonrası hizmetleri konusunda bu kadar eleştiri duyduktan sonra bugün bozuk çıkan  ömür boyu garantili*  ram konusunda başıma ne gibi dertler açacağını kara kara düşündüğüm firma. halbuki bugüne kadar mutlu bir ilişkimiz vardı, indirimler olsun, taksitler olsun...',fiyat
'dun 2. kez bozuk urun aldigim yer. ilki airties wireless modem di ve antenlerinden biri kirik cikmisti. dun de hic calismayan bir usb coklayici almis bulunuyorum. isin enteresani/aptalligi/bilmiyorum nesi dun aldigim urunun kutusu acilmis oldugu icin soyle bir diyalog gecti satici arkadasla aramizda: - bunun kutusu neden acik? - onlarin kutusu oyle, hepsi ayni. - ben daha once buradan kirik bir modem almistim da bu da bozuk cikmasin (bu esnada ben elimdekini birakip en alttakine ulasiyorum zira onun kurcalanmis olma ihtimali daha dusuk diye dusunuyorum. ulastigim en alttaki urunun paketi ekstra yirtik ama bu arada kiz: - merak etmeyin bir sorun olmaz (dedigi icin utanarak tekrar degistirmiyorum) eve geliyorum ve alet calismiyor! boyle ozlu bi soz vardi, temelinde de ikinci kere kaziklanma olayi gerceklestiginde durumun kaziklananin aptalligindan kaynaklandigi yatiyordu.',urun
'urunleri konusunda bir yorum yapamiyorum ama cardfinans ile 16 taksit vs. kampanyalari tamamen kredi karti satmaya yoneliktir. onceden telefonla gorusursunuz, - bakin benim cardfinansim yok ama magazanizdan alacagim bir urun var. - tabii buyrun ne demek. vergi kimlik no ve kimliginiz yaninizda ise ve herhangi bir odeme sorununuz yoksa 20 dakika icerisinde kartinizi teslim alip alisverisinizi yapabilirsiniz. - peki. aksam magazaya gidilir. form doldurulur.  hanim efendi kartinizi evinize gonderecegiz.  ya ben lan neyse bir sey diyemiyorum... sonuc: gold pc ye gidilip efendi efendi urun alinir.',fiyat
'bahsettigim, kirik modemden sonra aldigim hic calismayan usb coklayiciyi iade etmeye gittigimde tam 1 saat cikamadigim yer. prosedur soyle: once bir sira numarasi alip bekliyorsunuz. siraniz geldiginde gorevli insan size anlamsiz sorular soruyor (zira eline tutusturdugunuz faturada cevaplari var), benim urunun kutusunun acik olmasi ama bu urunlerin hepsinin kutularinin acik olduguyla ilgili uyarima  hepsini kontrol ediyoruz, bir iki vakumlu paketteki urun disinda burada kutular hep aciktir  diyor (soz konusu urun minik bir usb coklayici, hepsinin kutusunu acip bakmalari enteresan). sonra  bakalim hangi satis gorevlisinden almissiniz  diye bilgisayara bakiyor, benim sorunum urunun yanlis secim olmasi gibi birsey degil - ki oyle olsa bile ne yapacaksin satiscisini - benim sorunum urunun bozuk olmasi; sonra himmm diyor. bu arada bendeniz dayanamayarak daha once de kirik bir modem aldigimdan bahsedip neden buradan aldigim herseyin kirik ve bozuk ciktigini soruyorum. tabi bir ozur ve basima buyuk bir sanssizlik geldigi, normalde boyle seyler olmadigi gibi bir aciklama bekliyorum. ancak gorevli soyle diyor: oyle seyler cikiyor ki inanamazsiniz, modem kutularindan modem cikmiyor mesela, bos kutu satiyoruz. nasil gozden kaciyor ben de bilmiyorum! bu birsey degil yani!!! tabi ben dumur otesi dumur. butun kutularin kontrol edildigi icin acik olmasiyla bu cevabin celiskisine mi takilayim, soylenenin icerigi karsisinda mi sok gecireyim sasiriyorum. oysa ki soyleyenin soyleme nedeni cok acik: siz sukredin ki kutunuzdan bozuk mozuk yine de urun cikti. bos kutu sattigimizda geri getirene hirsiz muamelesi de yapiyoruz biz! musteri bozuntusu, sukret diyorum! daha sonra bu gorevli arkadastan urunun bozuk oldugu yazan bir kagit parcasi aliyor, karsiliginda 3-4 yer imzaliyorum. bize diger siradan bir numara alip beklememizi soylediginde hic tepki vermememim nedeni bir once soylediginin etkisinden kurtulamamis olmam. kuzu kuzu dedigini yapiyorum ve beklemeye basliyorum. 3, 5, 7, 10 derken 15 dakika sonra bizim sirada hicbir ilerleme olmayinca ayni gorevli arkadasa gidip durumun nedenini soruyorum  haaa tabi  diyor,  sizin siraya bakan arkadas burada degil.  (bu arada 15 dakikalik bekleme sirasinda bu arkadasin tam karsisinda oldugumdan varligimi unutmasi olasi degil.) - ama ama (sasirmak kendimi ifade zorlugu cekmeme neden oluyo benim) siz bize numara aldirdiniz onu bekliyoruz - gelir gelir, ariyim bari ben. ... (iceri gidip gelir) aradim birazdan gelecekmis, yukaridaymis. soz konusu insan birkac dakika sonra geldi. urunun bozuk oldugunu gordukleri halde para iadesi icin teknik servise gidip bir dizi testten gecirilmesi gerekiyormus (ben urunu aldiktan 24 saatten once goturmustum). bu durumda vakumlu paketteki urunlerden almaya karar verip harcanacak iade fisi aliyor ve kendimi bos cd lere boguyorum. benim bu deneyimden anladigim vatanin kendisinde bozuk mal alan musterilerine suc musterininmis gibi davranmasi. e malin bozuk olup olmayacagini da onceden bilemeyecegimize gore ordan herhangi birsey alarak potansiyel suclu konumuna dusuyoruz. aradiginiz urun baska bir yerde yoksa ya da oradan almak kolayiniza geliyorsa urun kutusunu bos almamaya dikkat edin ki sucunuz agir olmasin!',urun
'enteresan elemanları bulunan yer. ipodumun bozulan kulaklığını teslim ettikten yaklaşık bir ay sonra teslim ettiğim görevli arayıp tamir olduğunu, gelip teslim alabileceğimi söyler. buraya kadar normal. bundan bir hafta gelen telefon ise dumur sebebidir + iyi günler, cipiro siz misiniz? - buyrun benim? + ben vatan bilgisayardan aramıştım, ipodunuzla ilgili - evet, geçen hafta da aramıştınız? + tamir sürecinin devam edebilmesi için aletin kendisini de getirmeniz gerekiyor. - ?? + alo? - geçen hafta tamir oldu gelip alabilirsiniz diye aradınız, nasıl yani?? (yoksa bunlar mı bozdu tekrar?) tekrar nasıl bozulmuş olabilir? +?? ... içerden başka birine sesleniş: aletin kendisini getirmesi gerekmiyor muydu... + tamam, tamir edilmiş, gelip alabilirsiniz.',urun
'teknik destek olayı büyük oranda yalan olan firma. ürünle ilgili teknik bir sorun olduğunda sizi direkman distribütöre yönlendirmek gibi enterasan bir huyları vardır. öyle ki çok basit bir usb flash belleğin driverı konusunda bile size dağıtıcı firmanın telefonunu vermekten çekinmezler. dağıtıcı firmalar da genelde son kullanıcıyla muhattab olmadıkları için karşılıklı bir dumur yaşanır aradığınızda. hp başta olmak üzere pek çok marka üründeki ufak tefek sorunları bile kendi servislerine değil 3. parti yetkili servislere yaptırmaktadırlar. böylece kendileri ürünün servisi için hp veya diğer firmalardan almaları gereken servis ücretini alamaz ancak ürünü getirme-götürme ve eleman masrafından da yırtmış olurlar. çalışanlar konusundaki şikayetlerdeyse birincil sorumlu elemanlar değil bunların eğitiminden sorumlu olan vatan bilgisayarın kendisidir. asgari ücrete haftanın 6 günü çalışan insanların kalifiye elemanlar olması ve süper hizmet vermeleri beklenemez tabi ki. aldıkları paraya oranla gayet iyi iş çıkardıklarına şüphem yok. evet bir satıcı sattığı ürünün ne olduğunu bilmeli ancak burada standart türk mantalitesi devreye girmekte ve satıcı,  ulan 3 kuruş para alıyoz, zaten yarın öbür gün alır başımı giderim. hiçbir işime yaramayacak bilgiyi neden öğreneyim  diye düşünmektedir. yani sattığı tüm ürünleri en ince ayrıntısına kadar yalayıp yutsa bile bu bilgi maaşına direk olarak yansımadığı için insanlar kendilerini geliştirmeye çalışmıyorlar. ayrıca sattıkları ürün yelpazesinin genişliği düşünüldüğünde bu kadar dar bir kadronun tüm bu ürünlere teknik anlamda hakim olabilmesi de pek mümkün değil. satış ve destek elemanlarının yetersizliği sadece vatan bilgisayar ın değil türkiye deki teknoloji mağazalarının hepsinin ortak sorunudur. bu da tamamen bakkal/market mantığıyla yönetilmelerinden kaynaklanıyor.',urun
'telefonu müsterinin yüzüne kapatabilecek kadar yüzsüz ve terbiyesiz insancıkların da çalışanları içinde bulunduğu firmamsı.',ssh
'insanlara bozuk mal satıp sonrada değiştirmeyen firma. 30 gün bekletmek nedir? tüketici haklarına uymayan, batı dünyasında mazeret göstermeksizin istediğin şeyi değiştirebildiğini bilmeyen firmadır ki bozuk ürünü değiştirmekte zorluk çıkartıyorlar.',urun
'almış olduğum dvd writerın eve gelir gelmez bir heves takacakken bir pin inin yamuk olduğunu görmemle geri götürdüğüm orda bana düzeltip deneseydin çalışırdı bunu iade alamayız diye başta ağız büken çalışanlarının olduğu, daha sonra benim 1 saat önce aldığım ürünü o şekilde kullanmayacağım konusunda ısrar etmemle birlikte az önce kesinlikle değiştiremeyiz diyen firma yetkilileri bir an da ilahi bir mesaj almışçasına değiştirmeyi kabul edip benim açılmamış naylon poşetli bir kutu istememe rağmen bütün stoklarda bir tek bile açılmamış dvd wirter bulamamaları sonucu aldığım ürünün sağını solunu en ince detayına kadar inceleyerek değiştirdiğim, yapmış oldukları astronomik taksit sayıları da olmasa kapısından bile geçilmeyecek olan firma.',fiyat
'iki kere bozuk mal alıp ertesi gün değiştirdiğim firmadır ama müşteri temsilcileri hakkaten ömür tüketen cinsten bir firma aynı zamanda.',urun
'gordugum kadariyla son 1 yildir bostanci magazasinda hizmet kalitesinde artis var. personel sanki daha ilgili, daha yardimsever. teknik servis quematik e gectikten sonra daha bir verimli olmus. umarim daha da iyiye gider.',ssh
'bu kadar kaba insani nasil bir araya toplamayi basarmislar dedirtecek kadar  basarili  firma. almak istedigim external hard diskin firewire girislisinin uretilmemis oldugunu israrla savunan, bakin hepsiburada.com da satiliyor, demek ki sizde yok dediginiz zaman bile hayir yok uretilmedi oyle bi sey diyebilen tuhaf saticilar var. allah akil fikir versin.',urun
'200 gb external hdd istemem üzerine, bana 200 gb internal hdd yollamis, bu duruma tepki göstermeme ise  markası, gb ı, her şeysi aynı  diyerek bu kadar sinirlenmeme bir anlam verememiş insanların çalıştığı firmadır bu. üstüne üstük, ellerinde external kalmadığı için internal yolladıklarını belirtmiş, external ve internal arasındaki fiyat farkıyla rahat rahat bir hard disk kutusu alabileceğimi de eklemişlerdir. (bkz: hay aklınla bin yaşa)',fiyat
'kesinlikle yanına bile yaklaşılmaması gereken alışveriş sitesi.öncelikle aynı fiyatlara aynı ürünleri başka yerlerden de bulmak mümkündür,yani maddi açıdan avantaj sağlamaz.ikinci olarak,web sitelerinde kendilerini övmekten başka hiçbir ibare göremezsiniz,öyle   kargolarınız şöyle teslim edilir,şu kadar sürede gelir   gibi açıklamalar yoktur (ki önemlidir)...üçüncü olarak,müşteri temsilcilerine ulaşmanız imkansızdır.  şu anda bekleyen müşterilerimiz arasında xx sıradasınız   der ama o sıra hiç düşmez ve onlarca dakika telefonda beklediginizle kalırsınız.dördüncü olarak,sorularım kısmından siz bir soru sorsanız bile cevabını oyle hemen beklemeyin,beklemek yanlış olur.size ulaşmaya çalışmayacaklardır.web sitelerinde kendilerini övmekten başka sadece ürün sergileyen bir firmadır burası.',fiyat
'2 adet wireless mouse biraktim. biri icin ayni gun ikincisi icin de birkac gun sonra hazir diye aradilar. her 2 telefon konusmasinda da,  tamir edildi mi yani, su anda calisiyor mu  seklinde sordugumda  evet yaptik, saglam  dediler. bugun almaya gittigimde ortaya cikti ki bir tanesi kullanici hatasi diye geri donmus. digerini zaten hic gondermemisler, denediklerinde calisiyormus. ben almaya gittigimde denedik calismadi. ben zaten  bir calisiyor bir calismiyor  sikayetiyle birakmistim. bi de mouse u denedigimizde calismamasi karsisinda cok sasiran teknik elemanlar kesinlikle rechargable pille denenmesi gerektiginde israr ettiler (sanki mouse cok enerji harcayan ve boyle pillerle kullanilmasi gereken bir aletmis gibi, bunu soyledim ama ikna edemedim) ve magazada kullanabilecekleri rechargable pil bulmalari yarim saat aldi. sonunda bir kez daha bir suru zaman kaybederek ve vatan bilgisayarin hicbir isi halledememis oldugunu gorerek oradan ayrildim.',urun
'el degistirdikten sonra 1 milyar otesinde alisveris yapmayacaginizi anladiklari anda size pas vermeyen bilgisayarci(msi). eski musteriymissiniz laptopunuzu desktopunuzu oradan almissiniz umurlarinda degil artik...',fiyat
