@relation degerlendirme

@attribute text  String
@attribute degerlendirme   {neg,pos,nm}
@Data
'fiyatları piyasadan* fazladır ama büyük hacimli bilgisayar, teknoloji ürünleri satıcıları ile mukayese edildiğinde, iyi bir yerde sayılabilir; en azından hızlı sistem ve teknosa dan çok daha iyidir. hatta bazı ürünleri, piyasa ile aynı fiyatla alabilirsiniz, iyi bir kampanyaya denk gelindiğinde piyasadan ucuza bile alınabilir. ayrıca garanti sıkıntısı da pek olmaz, bunlar teknosa da olmayacak güzelliklerdir. ezcümle, bayisi, şubesi görüldüğünde girmekten, gezmekten zarar gelmeyen bir kuruluştur bimeks. yalnız, sözlük okuyan yetkilisi var mı bilmiyorum, dilerim vardır bir a klıevvel.. web sitelerinin durumu içler acısı; mesela apple ürünleri satıyorlar ama web sitelerinde apple ile ilgili bir bilgi bulamadım. arama motorlarına apple yazınca sadece iki sonuç geliyor, oysa satış merkezlerinde birçok apple ürünü var. çok vahim internet sitelerinin hali çok.. umarım yakın zamanda el atıp, ezik internet sitelerini toparlarlar.',pos
'ds satın almak isteyen aileye daha pahalı ürün olan pspyi satmak için  bırakın diğerini 5 yaşında çocuklar için o  diyebilen çalışanlara sahip mekan.',neg
'kataloglarinda yaptiklari yanlisliklari  evet, yanlis o hehe  yuzsuzluguyle musterilerine aciklayan firma. canon eos 30d fiyatini 173 ytl carpi 12 taksit demisler, bi de yanina yaklasik 400 ytllik flash hediye olarak veriyolarmis. urun fiyatinin yarisi ediyor yaklasik. bimekse kadar bosu bosuna hic yorulmayin.',neg
'gün itibariyle mağazalardaki creative zen vision m modeli kdv dahil 510ytl dir ki aynı ürünün teknosa fiyatı 1080ytl dir. koşmak ve stoklar bitmeden tüketmek lazımdır. edit: bazı arkadaşlar beni düzelttiler ürünün 1000dolar+kdv lik alışverişle geçerli olduğu konusunda. ama malesef yanılıyorlar. ürün herhangi bir şart gerektirmeden o fiyata inmiştir gün itibariyle saat 10:00 da. şu an evden çıkarsanız belki bulma şansınız var ürünü. stoklar sınırlı sayıda.',pos
'an itibariyle internet sitesi çalışmayan  teknoloji  marketi... ',neg
'bornova forum ismi ile bornova daki ikinci mağazası da açılmış, yine pek yakında maslak ve yeşilköy mağazaları hizmete girecek olan kuruluş.',nm
'şu ana kadar aldığım bütün ürünleri (evet, bütün) arızalı çıkan garip mağazalar zinciri. müşteriye karşı anlayışlı olmaları bu gerçeği değiştirmiyor.',neg
'gün itibariyle diğer teknoloji mağazalarında 250$+kdv gibi bir fiyata satılan ürünü 199$+kdv ye satmaktadırlar. buyrun linki: http://www.bimeks.com.tr/…tions.jsp?promotionid=576 buyrun ürün: (bkz: dell e196fp)',pos
'99 gün boyunca 99 ürüne çok cazip indirimler yapacak olan firma, son 2 haftadır yaptıkları indirimler gerçekten taktire değer olduğundan takip edilesi kampanyadır.',pos
'ne web sitesi çalışıyor, ne yeni açılan teknoport denen mağazasının telefonları çalışıyor, ne online çağrı merkezi cevap veriyor, ne oldu acaba kapattılar gittiler mi?',neg
'süper evropai bir yer. türk lirası üzerinden fiyatlar bile bulunmuyor.',neg
'(bkz: bimeks teknoport) ',nm
'web arayuzu uzerinden calisan otomasyon sistemleri olsun, magazalarda calisan reyon sorumlulari olsun bir yavaslik bir yol yordam bilmezlik icinde calismaya devam eden firma. satin alinan urunun garanti kapsami icinde bozulmamasi icin gece gunduz dua edilmesi gerekiyor. zira bozulan cihazi geri goturdugunuzde cihazin gercekten bozuk oldugunu anlayip kaydini acarak geri alma suresi 1 saat. tamir suresi 30 takvim gunu uzerinde. ustune cihazin tamirden geldigini telefon edip ogrenebiliyorsunuz(kimse size donmuyor yani). ustune bir de tamir edildigini dusundugunuz cihazi almaya gittiginizde de aslinda sizin degil baskasina ait bir cihazin size verilmeye calisildigini, goruyorsunuz. tabi bunlar da yine yaklasik 1 saat suruyor. velhasil ucuzlukla musteri cekmeye calisan ama kotu servis yuzunden cok insan kacirdigini dusundugum bir garip firma.',neg
'web sitesi oldukça başarısız teknoloji marketi, ürün gruplarını tek kalemde listelemekte ve listeyi özelleştirme imkanı sunmamakta{marka, özellik vb.}, fiyata göre sıralamak mümkün olsa da onlarca sayfada dolanmak hiç de keyifli değil.',neg
'22 - 24 nisan arasındaki üç gün, öğrenci kimliği ibraz edenlerden kdv almayan teknoloji market. bayram çocuk bayramı ama üniversite öğrencilerine de aynı kıyağı geçiyorlar.',pos
'onlarcasi birden sergilenen laptop ya da monitor gibi bir urun alacaksaniz buyuk ihtimalle teshir urunu verebilen magazalar zinciridir. gerci zincir magazalarin cogu boyle, gene de urun alirken teshir urunu olmamasina dikkat edin.',pos
'hakkında sadece iyi şeyler yazabileceğim bir donanım perakendecisidir',pos
'aldığım sims expansion pack inin şifresi ile register olmayı başaramayıp geri götürdüğümde(bu şifre ile zaten register olunmuş deniyordu) bana paketin yenisini vermişlerdir. o yüzden severim kendilerini, gönül rahatlığı ile oyun aldığım bir yerdir. ',pos
'teknosa ya göre tercih edilesi bir teknoloji mağazası. ha bana kalsa yazıcıoğlu ndan şaşmayın derim.',pos
'zaman zaman bazi urunleri piyasa fiyatinin cok altinda satisa sunarak musterilerini sasirtan firma. fakat bunun ne promosyonunun yapiyor, ne sitesinde duyuruyor, kendiniz magazada gezerken farketmediginiz surece faydalanamiyorsunuz. bir nevi easter egg gibi... ',pos
'biraz önce forum bornova mağazalarından aldığım bilgi kitapçığının içinde asıl fiyatı 159$ olan packard bell store & save 500 mb kapasiteli ürünü en arka sayfada sanki çok indirim yapıyormuş gibi 1.000$ lık ürün satın alınca 199$ dan -e hani 159$ du?- 99$ a indirerek kurnazlık yapmaya çalışırken rezil olan firma.',neg
'hepsiburada.com da 639ytl olan urunu  # 897,00 ytl yerine sadece bimeks te 697,00 ytl  diye reklam yapan firma.',neg
'99 gun boyunca her gun bir urunun indirimde olacagi kampanyalarini tekrar baslatmis kendileri. ihtiyaciniz olan urunu, indirime girmesini bekleyip cok da cazip bir fiyata alabilirsiniz. takip edilmesinde yarar var. ',pos
'99 gün boyunca indirimlerde sadece world carda taksit yapan firma.world cardınız yoksa ya peşin vermeniz(kartla tek çekim ya da nakit) ya da indirimden vazgeçmeniz gerekiyor.mp4 playerı alamadan döndüm bunun yüzünden.ama ihtiyacınız olan bir ürün bu 99 ürün içerisinde olursa kaçırmayın derim.',pos
'eskişehir espark avm deki mağazalarından kesinlikle alışveriş yapılmaması gereken firmadır.ayıplı ürün satmayı adet haline getirdiklerini ve bundan da zerre rahatsız olmadıklarını çalıştırdıkları personelin cehaletinden ve de pişkinliklerinden anlamanız için herhangi donanım ürünlerinden bir adet almanız yeterlidir.akabinde geçireceğiniz sinir krizleri ise yanınıza kardır.',neg
'bilgi işlemdeki elemanların oturup maç izlediğini düşündüğüm firmadır. genelde maç saatlerinde sitede güncelleme yapılmaz ama diğer günlerde saat 8 oldu mu hemen sitede güncelleme yapılır.',neg
'kadıköy mühürdar caddesi nde outlet mağazası vardır. ölü piksel sahibi monitörler, amalajı yırtılıp iade edilmiş, servis kaydı bulunan bilgisayar/elektronik ürünler indirimli olarak satılıyor. değer mi? sanmam. ',neg
'yeşil sermaye kuruluşu olması kuvvetle muhtemeldir. bugün girdiğim bimekste, tüm televizyonlarda samanyolu tv açık ve içeride başları örtülmüş kızlar çalışmakta idi.',nm
'online alışveriş olanağı sunmayan bir internet sitesine sahip elektronik mağzalar zinciri.',neg
'sosyal fobiklerin alışveriş yapmakta zorlanacağını düşündüğüm teknoloji satış noktalarından biri. dolar ve euro üzerinden etiket koy, ondan sonra benim sosyal fobiğimin bütün cesaretini toplayıp, kasiyere tl. üzerinden fiyat sormasını ya da barkod okutmasını bekle. zaten zar zor elleri titreyerek şifre giriyor ya da para üstü bekliyor gariplerim sen gel hayatı daha da zorlaştır. (bkz: ama haksızlık bu öyle değil mi)',neg
'fiyatlari amerikan dolari uzerinden belirleyen, ancak dolarla odeme kabul etmeyen firma. cunku piyasaya gore yuksekce kurdan ytl hesaplayip oradan da kar ediyorlar.',neg
'iddia ediyoruz en iyi fiyat bizde, diye bir sloganları vardı;1-2 ay öncesine kadar...yalanın önde gidenidir,aynı ürünü başka bir mağazada çok daha ucuza alabilirsiniz,ayrıca yaptıkları indirimlerle bile diğer mağazalarla aynı fiyata inmektedir ürünlerinin fiyatı.',neg
'bugün itibarıyla onlardan aldığım ürünü alışveriş kompleksinin içinde diğer bir mağazada (üç adım ötede ayol) daha ucuz gördüğümdendir ki ürün iade girişiminde bulunduğumda -ki sebep olarak bittabii  daha ucuzunu gördüm  dedik- ambalajdan vs dem vuran teknoloji marketi.  hani siz ucuzunu gösterince bir şeyler yapıyordunuz  dediğimde ise benden belge istediler... belgesel taliplisi... çekeriz ne var! dilerlerse ürünleri bedava versinler, alışverişe gitmeyeceğim tükan. edüt: sloganları  daha ucuzunu bulun farkını ödeyelim miş.',neg
'artik kimse hd-dvd player ya da disk uretmedigi icin cope atilmis bir teknolojiye sahip oldugu halde 247 ytl den toshiba hd-dvd alana yaninda alacagi tv yi indirimli veren firma. tuketicinin haklarini korumak diye buna derim. yakinda 1970 lerden kalma betamax video stoklarini da eritmeye baslarlar.',neg
'şu anda bayrampaşa şehir parkında garaj günleri adında bi çadırları var 1 hafta boyunca outlet ürünlerde %50 indirim yapılıyor. kaçırılmamalı...',pos
'tuketiciyi aptal yerine koyan kampanyalara devam ediyorlar. e ben de afişe etmeye devam edeyim. son kampanya(!)larindan birine gore eski telefonunu onlara veriyorsun, 100ytl indirim yapiyorlar se w580 i 467ytl ye veriyorlar. iyi de eski telefonumu vermeden w580 i kazikci hepsiburada dan 449ytl ye, daha da kazikci teknosa dan da 449ytl ye alabiliyorsam niye daha pahaliya senden alip bir de eski telefonumu vereyim ki? (ayni sey w380 icin de gecerli, w880 icin de vs vs vs)',neg
'bir digital fotoğraf makinesinin kampanyada olacağı söylendiği gün 10 da açılan mağazasına 10:05 te gittiğim ve ürünün tükendiğini söyleyen  nasıl olur 5 dakkadamı?  dediğimde  evet maalesef  diye gayet rahat yalan söyleyebilen tiplerin çalıştığı bu tiplere yalan söyleten rezil firma.',neg
'tüketiciyi aptal yerine koymakta ısrar eden teknoloji marketlerdir. kapıda dağıttıkları 97 ytl kampanyasının açıklamasına göre siz 1000 ytl lik alışveriş yapıyorsunuz, bunlar da size kampanyadaki ürünlerden bir tanesini 97 ytl + kdv ye veriyorlar. şimdi arkadaşım; 97 ytl + kdv olarak lanse ettiğin philips dvp3260 bana 114.46 ytl ye geliyor, açıyorum dağıttığın o reklam broşürünü hemen, içinde aynı ürün var, ürünün normal satış fiyatı 124 ytl (kdv dahil). artı fiyatlarda diğer teknoloji marketlerine göre çok yüksek, arada dağlar kadar fark çıkıyor genelde. düzgün bir fiyat politikası tutturamamışsın, artı berbat kampanyalar düzenliyorsun, sonra kar edemeyip elemanların bir kısmını çıkartıp, diğerlerinin de ücretlerini düşürüyorsun. biz halk arasında bu tip şeylere genelde  ayıp  diyoruz.',neg
'99 gün 99 ürün kampanyalarını bu sene de uygulayan firma. indirim oranları geçen senenin biraz daha altında gibi gelse de yine de uygun fiyata güzel ürünler yakalamak mümkün.',pos
'an itibariyle hepsiburada.com da bile 400 ytl olan bir lcd monitoru 787 ytl ye satan teknoloji marketi. bir alana bir bedava yapıyorlar heralde, ya da ayakta gorduler tuketiciyi bu kriz ortamında.',neg
'levent metrocity de ucu bucağı görülmeyen bir yer açtılar.. öyle böyle değil, insan bu kadar teknolojik ürünün ve çeşitliliğin içinde gözlerine inanamıyor.. hele bir de  oem  ürünleri de koymuşlar ki, bu tarz tekno-market lerin en büyük açığı olan bir olayı güzel ekarte etmişler.. yani gidip vatan bilgisayar dır ıvırdır tıvırdır uğraşmadan paşalar gibi ram dir, harddisk tir alınabilecek bundan sonra buradan.. fakat bunca hayvani yatırımı neden krizin göbeğinde yaptılar o da merak konusu.. dileğimiz zaten metrocity nin en alt katında ve ücra köşesinde olan bu mekanın kapanmaması ve bu teknoloji tarlasının uzun yıllar hizmet verebilmesi..',pos
'metrocity mağazasında ufak bir reyonda oyuncak, beyaz eşya, küçük ev aletleri bulunmaktadır. ',nm
'metrocitynin dibinde teknoport konseptinde oldukca büyük bir mağaza açtılar, metrocitynin tamamını reklama boğmuşlar. karanlık ve izbe görüntüsü var ama çeşitlilik gayet iyi... bide oyuncak reyonu var küçük bir bölümde ama kapkaranlık uzaktan bakınca korku tünelini andırıyo yaklaşmaya tırstım...',neg
'metrocity mağazasının karanlık ve izbe olmasının sebebi, mağazanın eskiden otopark olan katın kapatılarak açılmış olması. otoparkı mağaza yapınca aydınlatma da bir yere kadar tabii. ayrıca diğer şubelerini bilemiyorum ama bahsi geçen mağazada en ucuz fiyat garantisi verilmekteymiş. mağazada gördüğüm ilanın yalancısıyım. edit: en ucuz fiyat garantisine inanılmamalı ve diğer zincirlerin de fiyatları kontrol edilmeli. geçtiğimiz hafta bimekste 34 küsur liraya satılan hp 21 numaralı kartuşu teknosa dan 31 liraya bulmak mümkündü.',neg
'birbirinden habersiz çalışanları barındıran firma. yetkili kişiyle görüşseniz bile ikinci sefer gittiğinizde aynı kişiyi bulmaya bakın. aksi takdirde müşteri temsilcisinin kendi dükkanında çalışanları tanımadığına şahit olacaksanız.',neg
'vatan ın 299$ a sattigi (hatta kampanya yapinca $249 a bile sattilar bir iki defa) asus eeepc1000ha yi turkcell 3g modem ve kontratli data paketi almak sartiyla $297 a satan magaza.',pos
'web sitesi dün geceden beri iptal olan teknoloji market. kameralarda kampanya yapmışlardı güzel. hafif dokundu galiba.',nm
'alışverişiniz bittiğinde kasa yanında duran dua kitaplarından da bir tane almazsanız buradan aldığınız aletler önce çarpıp sonra kısa devre yapıyormuş. öyle dediler. o değil de teknoloji markette dua kitabının işi ne? ben bugün bunu düşünüyorum.',neg
'reklam gibi olmasın ama, şu an itibariyle piyasadaki en ucuz ps3 ve iphone 3gs satiyorlar. ara sıra böyle değişik ve güzel kampanyaları olabiliyor ',pos
'30 kasım 2009 tarihine özel, online olarak yapılan alışverişlerde %20 indirim yapan teknoloji şeysi.. kampanya 1 aralık saat 10:00 a kadar geçerli..',pos
'(bkz: bemeks) ',nm
'ankamall mağazasındaki elemanları biraz... nasıl söylesem... yavaşlar... ',neg
'stokta yok sadece teşhir olan var  böyle bir yer.',neg
'internet sitelerine paramı kaptırdığım, 18 kasım 2009 dan beri  sanal pos tan iade yapmaları için yalvardığım ve 4 aydır sonuç alamadığım, şimdiye kadar gördüğüm en kötü alışveriş sitemsi oluşum. atılan mesajlara yanıt alamıyorsunuz, telefonla iletişime geçtiğinizde de, biz sizi arayacağız deniliyor, herhangi bir geri dönüş olmuyor. aşırı ciddiyetsiz çalışıyorlar. hayatımda ilk defa bir firmayı mahkemeye vereceğim. o printerı almaz olaydım. siz, siz olun buradan kesinlikle alışveriş yapmayın. sinir sisteminize yazık, paranıza yazık. zamanınıza yazık. para iademi 5 ay sonra yaptılar editi: sikayetvar.com üzerinden  bimeks 4 aydır paramı iade etmiyor  başlıklı şikayete şu şekilde yanıt vermişler ve paramı iade etmişler: faturanız şirket adına kesildiğinden dolayı tarafınızdan iade faturası istenilmiştir. faturayı göndermediğinizden dolayı da iade işlemleri hemen yapılamadı. iade faturanız bize ulaştığında işlemleriniz bekletilmeden yapılmıştır. saygılarımızla bimeks müşteri hizmetleri verdikleri bu yanıt, kocaman bir yalan... bu şirketin çalışanlarının iq seviyesi düşük olabilir, bu şirketin çalışanları yolladığım printerı kaybetmiş olabilir ya da sorumsuz olabilir. 5 ay boyunca bana farklı müşteri temsilcilerinden, farklı masallar anlatan yüzsüz çalışanları olan bir şirket olabilir. kısacası insanız ve bir insanın yapabileceği hatalardan bazılarını bu şirketin çalışanları da yapmış olabilir. bu işin finalinde bir özür, kusura bakmayın oldu bir hata yerine, sikayetvar.com üzerindeki mesajıma,  faturayı göndermediğinizden dolayı da iade işlemleri hemen yapılamadı  gibi bir yalana başvurmuşlar. sikayetvar da her zamanki gibi, bunu hemen çözüldü olarak işaretlemiş. yani bimeks benden iade faturası istemiş ve ben 5 ay boyunca bunu göndermemişim, sürekli iletişim kurmaya çalışarak sorunu çözmeye çalışmışım. ondan dolayı iade işlemi hemen yapılamamış. yaşadığımız bu deneyimler, türkiyedeki e-ticaret sektörünün ne kadar vahim durumda olduğunu da gösteriyor. bu sektördeki pastanın, büyük dilimlerine sahip bu firmalar, maalesef ticaret hayatlarına tam gaz devam ediyorlar. insanları mağdur ederek, büyümeye devam ediyorlar. alışverişlerimizle beslediğimiz, bu gibi firmalara artık taviz verilmemesi gerektiğini düşünüyorum. müşterilere sahtekar yanıtlar vermeyi tercih eden yalancı bu tür firmalardan, uzak durulmasını, bir kez daha tavsiye ediyorum.',neg
'server ın fişini çeken temizlikçi teyze mesaiye kalmış yine, sitesine ulaşılamıyor. birazdan biri gelip takar fişi.',neg
'an itibariyle  beyaz eşyada bimeks ten alınır!  konulu,  beyaz eşya da kaçırılmayacak fırsat!  içerikli e-mail göndermiş, yazım kuralı-dil bilgisi hataları ile duble yapmış bilgisiz bilişimcidir.*',neg
'bugün internet sitesinde  iş başvuru formu  bölümüne giriş yapınca dumura uğratan şirket. hayatımda ilk kez bir tekno/elektro-marketin iş alımında *kilo* & *boy* bilgilerini istediğini gördüm. benim bildiğim bu bilgiler ya askerde lazım olur ya da cast ajansı gibi yerlere kayıt olmak için gerekir. sporculara hiç değinmiyorum bile. bimeks bu bilgiyi hangi amaçla kullanacak akıl sır erdiremedim. mallarını satarken bir manken edasıyla mı satış yapılmasını öngörüyorlar acaba? benim gibi kısa boylu ve ya uzun boylu ama kikirik birini reyon arasında görmek müşterilerin göz zevkini mi bozar? yoksa aşırı kilolu bir insanın iyi satış yapamayacağını mı düşünüyorlar? kilo boy dengesini orantılı kurmak satışları olumlu etkiliyor galiba. -evet şimdi karşınızda intel core i7 860  ı satış temsilcimiz güzeller güzeli yağmur su  nun*elinde geçerken görüyoruz.',neg
'getirdikleri anakartların tümünün 2 tane ram yuvasına sahip olmasını hiç yadırgamadan ifade eden, 4 gb kapasiteli ram ler yaygınlaşmadan çizim, grafik, oyun vs. gibi konfigürasyonu zorlayacak işler yapan insanlara hitap edemeyeceklerini de ben yadırgamadan ifade ediyorum. başarılar bimeks!',neg
'4000 tl verip televizyon almaya kalktığınızda sizden yüssüzce lojistik hizmet bedeli talep eden firma. darty bu işlemler için para almadığı gibi, tv yi eve getiriyor bırakıyor; eğer daha sonra kurmak isterseniz tekrar gelip kurulumu yapıyor.',neg
'çok farklı bir firma afedersiniz . telefon aldım kullanılmış ürün çıktı, götürdüm değiştirdiler, sağ olsunlar yeni aldığım üründe sürekli bozulup durdu. laptop aldık indirim son gün dediler 1 ay indirim devam etti. satıcılar bilgisiz blender alacağız, bunun karıştırıcısı yok nerede diye soruyorsun, eleman bu üründe karıştırıcı yok diyor . olum kutuda var diyorsun yok o görsellik olsun diye parayla satın alıyorsunuz karıştırıcıyı diyor fiyatı o yüzen uygun. nesi uygun kardeşim, bilmiyorum desene kaybolmuş de kimi yiyosun. su ısıtıcı diyorsun teşhirdeki son ürünü gösteriyor bu yüzden indirimli diyor. her halt bu yüzden indirimde. peki bu zenci dildo diyorsun. hop abi orda dur o benim özel diyor satılmaz. oğlum sinemaya gidiyor olmasaydım fena haşlardım. bilgisiz satıcıları var. sözün özü gitmeyin, ürün almayın, sinir bozucu olabiliyorlar.',neg
'müşteri hizmetleri bölümüyle yapılan görüşmede, kendilerinin 17:30  a kadar geri dönüş yapacakları yönündeki bilgilendirmelerine eyvallah denilen, sonrasında aramayan ve arandığında da ulaşılamayan hayırsız teknoloji marketidir. ',neg
'gördüğüm en irite , en yalancı teknoloji firması, teknosa bile bu kadar olamaz diye düşünüyorum. 23 nisan a özel kampanya yaptılar % 20 bütün ürünlerde diye htc hd2 alalım dedik, indirim olmadığını söylediler. neden diye sorduk pda  larda indirim yapmıyoruz dediler, eyvallah dedik, gazete ilanına bakıyorsun öyle bir ibare yok neyse problem yok. p.tesi sabah bimeksin sitesine girdik ne görelim % 18 kdv kadar indirim bütün ürünlerde , açıklamayı okudum, açıklamada ; *hat, kontör ve turkcell temlikli satışlar hariç tüm ürünlerde %18 kdv kadar indirim uygulanmaktadır. yazısı vardı. dur dedim şimdi sıçtınız. aradım müşteri hizmetlerini ağzıma geleni söyledim, kem dedi küm dedi. 2 dk sonra htc hd2 ye baktığımda turkcell temlikli olarak değiştirmişler. şiktir edin bimeksi teknosa bile daha insan.',neg
'sipariş takip sayfasında sorun var sanırım, güncellenmiyor. 2 gün önce satın aldığım ürün biraz önce elime ulaştı, ancak sipariş takip sayfasında hala  faturalandı, kargoya verilecek  yazıyor. orda yazana güvenip dışarı çıksam kapıda kalacaktı yani. buna bi şey yapsınlar. ',neg
'42  toshiba regza 42av635 lc tv yi yaptigi kampanya ile 3 ay ertelemeli 12 ay taksitle piyasa fiyatinin 400 tl asagisina satan, sattigi lcd tv nin arabaya yuklenilirken farkedilen kutusundaki -muhtemelen nakliye sirasinda yedigi sert bir darbeden dolayi - devasa deligi gorup nedir bu dendiginde hemen degistiren pek bi sukela teknolojik market. en azindan izmir forum bornovadaki boyle.',pos
'fatura ve sevk adresinin farkli olmasi gibi gayet basit bir istegi secenek olarak sunmasina ragmen faturayi ve urunu dogru adrese gondermeyi beceremeyen bir sanal alisveris sitesine sahip sirket.',neg
'ciddi bir ps3 kampanyası yapmışlar, bir bityeniği vardır diye düşündüm ama henüz bulamadım.. http://www.bimeks.com.tr/…iling/26temmuz/2010-1.htm',neg
