@RELATION firma
@ATTRIBUTE text  String
@ATTRIBUTE firmaxox   {bimeks,istBilisim,mediaMarkt,teknosa,vatanBilgisayar,yok}
@Data
'tuketiciyi aptal yerine koyan kampanyalara devam ediyorlar. e ben de afişe etmeye devam edeyim. son kampanya(!)larindan birine gore eski telefonunu onlara veriyorsun, 100ytl indirim yapiyorlar se w580 i 467ytl ye veriyorlar. iyi de eski telefonumu vermeden w580 i kazikci hepsiburada dan 449ytl ye, daha da kazikci teknosa dan da 449ytl ye alabiliyorsam niye daha pahaliya senden alip bir de eski telefonumu vereyim ki? (ayni sey w380 icin de gecerli, w880 icin de vs vs vs)',teknosa
'bir digital fotoğraf makinesinin kampanyada olacağı söylendiği gün 10 da açılan mağazasına 10:05 te gittiğim ve ürünün tükendiğini söyleyen  nasıl olur 5 dakkadamı?  dediğimde  evet maalesef  diye gayet rahat yalan söyleyebilen tiplerin çalıştığı bu tiplere yalan söyleten rezil firma.',yok
'tüketiciyi aptal yerine koymakta ısrar eden teknoloji marketlerdir. kapıda dağıttıkları 97 ytl kampanyasının açıklamasına göre siz 1000 ytl lik alışveriş yapıyorsunuz, bunlar da size kampanyadaki ürünlerden bir tanesini 97 ytl + kdv ye veriyorlar. şimdi arkadaşım; 97 ytl + kdv olarak lanse ettiğin philips dvp3260 bana 114.46 ytl ye geliyor, açıyorum dağıttığın o reklam broşürünü hemen, içinde aynı ürün var, ürünün normal satış fiyatı 124 ytl (kdv dahil). artı fiyatlarda diğer teknoloji marketlerine göre çok yüksek, arada dağlar kadar fark çıkıyor genelde. düzgün bir fiyat politikası tutturamamışsın, artı berbat kampanyalar düzenliyorsun, sonra kar edemeyip elemanların bir kısmını çıkartıp, diğerlerinin de ücretlerini düşürüyorsun. biz halk arasında bu tip şeylere genelde  ayıp  diyoruz.',yok
'99 gün 99 ürün kampanyalarını bu sene de uygulayan firma. indirim oranları geçen senenin biraz daha altında gibi gelse de yine de uygun fiyata güzel ürünler yakalamak mümkün.',yok
'an itibariyle hepsiburada.com da bile 400 ytl olan bir lcd monitoru 787 ytl ye satan teknoloji marketi. bir alana bir bedava yapıyorlar heralde, ya da ayakta gorduler tuketiciyi bu kriz ortamında.',yok
'levent metrocity de ucu bucağı görülmeyen bir yer açtılar.. öyle böyle değil, insan bu kadar teknolojik ürünün ve çeşitliliğin içinde gözlerine inanamıyor.. hele bir de  oem  ürünleri de koymuşlar ki, bu tarz tekno-market lerin en büyük açığı olan bir olayı güzel ekarte etmişler.. yani gidip vatan bilgisayar dır ıvırdır tıvırdır uğraşmadan paşalar gibi ram dir, harddisk tir alınabilecek bundan sonra buradan.. fakat bunca hayvani yatırımı neden krizin göbeğinde yaptılar o da merak konusu.. dileğimiz zaten metrocity nin en alt katında ve ücra köşesinde olan bu mekanın kapanmaması ve bu teknoloji tarlasının uzun yıllar hizmet verebilmesi..',vatanBilgisayar
'metrocity mağazasında ufak bir reyonda oyuncak, beyaz eşya, küçük ev aletleri bulunmaktadır.',yok
'metrocitynin dibinde teknoport konseptinde oldukca büyük bir mağaza açtılar, metrocitynin tamamını reklama boğmuşlar. karanlık ve izbe görüntüsü var ama çeşitlilik gayet iyi... bide oyuncak reyonu var küçük bir bölümde ama kapkaranlık uzaktan bakınca korku tünelini andırıyo yaklaşmaya tırstım...',yok
'metrocity mağazasının karanlık ve izbe olmasının sebebi, mağazanın eskiden otopark olan katın kapatılarak açılmış olması. otoparkı mağaza yapınca aydınlatma da bir yere kadar tabii. ayrıca diğer şubelerini bilemiyorum ama bahsi geçen mağazada en ucuz fiyat garantisi verilmekteymiş. mağazada gördüğüm ilanın yalancısıyım. edit: en ucuz fiyat garantisine inanılmamalı ve diğer zincirlerin de fiyatları kontrol edilmeli. geçtiğimiz hafta bimekste 34 küsur liraya satılan hp 21 numaralı kartuşu teknosa dan 31 liraya bulmak mümkündü.',bimeks
'birbirinden habersiz çalışanları barındıran firma. yetkili kişiyle görüşseniz bile ikinci sefer gittiğinizde aynı kişiyi bulmaya bakın. aksi takdirde müşteri temsilcisinin kendi dükkanında çalışanları tanımadığına şahit olacaksanız.',yok
'vatan ın 299$ a sattigi (hatta kampanya yapinca $249 a bile sattilar bir iki defa) asus eeepc1000ha yi turkcell 3g modem ve kontratli data paketi almak sartiyla $297 a satan magaza.',vatanBilgisayar
'web sitesi dün geceden beri iptal olan teknoloji market. kameralarda kampanya yapmışlardı güzel. hafif dokundu galiba.',yok
'alışverişiniz bittiğinde kasa yanında duran dua kitaplarından da bir tane almazsanız buradan aldığınız aletler önce çarpıp sonra kısa devre yapıyormuş. öyle dediler. o değil de teknoloji markette dua kitabının işi ne? ben bugün bunu düşünüyorum.',yok
'reklam gibi olmasın ama, şu an itibariyle piyasadaki en ucuz ps3 ve iphone 3gs satiyorlar. ara sıra böyle değişik ve güzel kampanyaları olabiliyor',yok
'30 kasım 2009 tarihine özel, online olarak yapılan alışverişlerde %20 indirim yapan teknoloji şeysi.. kampanya 1 aralık saat 10:00 a kadar geçerli..',yok
'(bkz: bemeks)',yok
'ankamall mağazasındaki elemanları biraz... nasıl söylesem... yavaşlar...',yok
' stokta yok sadece teşhir olan var  böyle bir yer.',yok
'internet sitelerine paramı kaptırdığım, 18 kasım 2009 dan beri  sanal pos tan iade yapmaları için yalvardığım ve 4 aydır sonuç alamadığım, şimdiye kadar gördüğüm en kötü alışveriş sitemsi oluşum. atılan mesajlara yanıt alamıyorsunuz, telefonla iletişime geçtiğinizde de, biz sizi arayacağız deniliyor, herhangi bir geri dönüş olmuyor. aşırı ciddiyetsiz çalışıyorlar. hayatımda ilk defa bir firmayı mahkemeye vereceğim. o printerı almaz olaydım. siz, siz olun buradan kesinlikle alışveriş yapmayın. sinir sisteminize yazık, paranıza yazık. zamanınıza yazık. para iademi 5 ay sonra yaptılar editi: sikayetvar.com üzerinden  bimeks 4 aydır paramı iade etmiyor  başlıklı şikayete şu şekilde yanıt vermişler ve paramı iade etmişler: faturanız şirket adına kesildiğinden dolayı tarafınızdan iade faturası istenilmiştir. faturayı göndermediğinizden dolayı da iade işlemleri hemen yapılamadı. iade faturanız bize ulaştığında işlemleriniz bekletilmeden yapılmıştır. saygılarımızla bimeks müşteri hizmetleri verdikleri bu yanıt, kocaman bir yalan... bu şirketin çalışanlarının iq seviyesi düşük olabilir, bu şirketin çalışanları yolladığım printerı kaybetmiş olabilir ya da sorumsuz olabilir. 5 ay boyunca bana farklı müşteri temsilcilerinden, farklı masallar anlatan yüzsüz çalışanları olan bir şirket olabilir. kısacası insanız ve bir insanın yapabileceği hatalardan bazılarını bu şirketin çalışanları da yapmış olabilir. bu işin finalinde bir özür, kusura bakmayın oldu bir hata yerine, sikayetvar.com üzerindeki mesajıma,  faturayı göndermediğinizden dolayı da iade işlemleri hemen yapılamadı  gibi bir yalana başvurmuşlar. sikayetvar da her zamanki gibi, bunu hemen çözüldü olarak işaretlemiş. yani bimeks benden iade faturası istemiş ve ben 5 ay boyunca bunu göndermemişim, sürekli iletişim kurmaya çalışarak sorunu çözmeye çalışmışım. ondan dolayı iade işlemi hemen yapılamamış. yaşadığımız bu deneyimler, türkiyedeki e-ticaret sektörünün ne kadar vahim durumda olduğunu da gösteriyor. bu sektördeki pastanın, büyük dilimlerine sahip bu firmalar, maalesef ticaret hayatlarına tam gaz devam ediyorlar. insanları mağdur ederek, büyümeye devam ediyorlar. alışverişlerimizle beslediğimiz, bu gibi firmalara artık taviz verilmemesi gerektiğini düşünüyorum. müşterilere sahtekar yanıtlar vermeyi tercih eden yalancı bu tür firmalardan, uzak durulmasını, bir kez daha tavsiye ediyorum.',bimeks
'server ın fişini çeken temizlikçi teyze mesaiye kalmış yine, sitesine ulaşılamıyor. birazdan biri gelip takar fişi.',yok
'an itibariyle  beyaz eşyada bimeks ten alınır!  konulu,  beyaz eşya da kaçırılmayacak fırsat!  içerikli e-mail göndermiş, yazım kuralı-dil bilgisi hataları ile duble yapmış bilgisiz bilişimcidir.*',bimeks
'bugün internet sitesinde  iş başvuru formu  bölümüne giriş yapınca dumura uğratan şirket. hayatımda ilk kez bir tekno/elektro-marketin iş alımında *kilo* & *boy* bilgilerini istediğini gördüm. benim bildiğim bu bilgiler ya askerde lazım olur ya da cast ajansı gibi yerlere kayıt olmak için gerekir. sporculara hiç değinmiyorum bile. bimeks bu bilgiyi hangi amaçla kullanacak akıl sır erdiremedim. mallarını satarken bir manken edasıyla mı satış yapılmasını öngörüyorlar acaba? benim gibi kısa boylu ve ya uzun boylu ama kikirik birini reyon arasında görmek müşterilerin göz zevkini mi bozar? yoksa aşırı kilolu bir insanın iyi satış yapamayacağını mı düşünüyorlar? kilo boy dengesini orantılı kurmak satışları olumlu etkiliyor galiba. -evet şimdi karşınızda intel core i7 860  ı satış temsilcimiz güzeller güzeli yağmur su  nun*elinde geçerken görüyoruz.',bimeks
'getirdikleri anakartların tümünün 2 tane ram yuvasına sahip olmasını hiç yadırgamadan ifade eden, 4 gb kapasiteli ram ler yaygınlaşmadan çizim, grafik, oyun vs. gibi konfigürasyonu zorlayacak işler yapan insanlara hitap edemeyeceklerini de ben yadırgamadan ifade ediyorum. başarılar bimeks!',bimeks
'4000 tl verip televizyon almaya kalktığınızda sizden yüssüzce lojistik hizmet bedeli talep eden firma. darty bu işlemler için para almadığı gibi, tv yi eve getiriyor bırakıyor; eğer daha sonra kurmak isterseniz tekrar gelip kurulumu yapıyor.',yok
'çok farklı bir firma afedersiniz . telefon aldım kullanılmış ürün çıktı, götürdüm değiştirdiler, sağ olsunlar yeni aldığım üründe sürekli bozulup durdu. laptop aldık indirim son gün dediler 1 ay indirim devam etti. satıcılar bilgisiz blender alacağız, bunun karıştırıcısı yok nerede diye soruyorsun, eleman bu üründe karıştırıcı yok diyor . olum kutuda var diyorsun yok o görsellik olsun diye parayla satın alıyorsunuz karıştırıcıyı diyor fiyatı o yüzen uygun. nesi uygun kardeşim, bilmiyorum desene kaybolmuş de kimi yiyosun. su ısıtıcı diyorsun teşhirdeki son ürünü gösteriyor bu yüzden indirimli diyor. her halt bu yüzden indirimde. peki bu zenci dildo diyorsun. hop abi orda dur o benim özel diyor satılmaz. oğlum sinemaya gidiyor olmasaydım fena haşlardım. bilgisiz satıcıları var. sözün özü gitmeyin, ürün almayın, sinir bozucu olabiliyorlar.',yok
'müşteri hizmetleri bölümüyle yapılan görüşmede, kendilerinin 17:30  a kadar geri dönüş yapacakları yönündeki bilgilendirmelerine eyvallah denilen, sonrasında aramayan ve arandığında da ulaşılamayan hayırsız teknoloji marketidir.',yok
'gördüğüm en irite , en yalancı teknoloji firması, teknosa bile bu kadar olamaz diye düşünüyorum. 23 nisan a özel kampanya yaptılar % 20 bütün ürünlerde diye htc hd2 alalım dedik, indirim olmadığını söylediler. neden diye sorduk pda  larda indirim yapmıyoruz dediler, eyvallah dedik, gazete ilanına bakıyorsun öyle bir ibare yok neyse problem yok. p.tesi sabah bimeksin sitesine girdik ne görelim % 18 kdv kadar indirim bütün ürünlerde , açıklamayı okudum, açıklamada ; *hat, kontör ve turkcell temlikli satışlar hariç tüm ürünlerde %18 kdv kadar indirim uygulanmaktadır. yazısı vardı. dur dedim şimdi sıçtınız. aradım müşteri hizmetlerini ağzıma geleni söyledim, kem dedi küm dedi. 2 dk sonra htc hd2 ye baktığımda turkcell temlikli olarak değiştirmişler. şiktir edin bimeksi teknosa bile daha insan.',bimeks
'sipariş takip sayfasında sorun var sanırım, güncellenmiyor. 2 gün önce satın aldığım ürün biraz önce elime ulaştı, ancak sipariş takip sayfasında hala  faturalandı, kargoya verilecek  yazıyor. orda yazana güvenip dışarı çıksam kapıda kalacaktı yani. buna bi şey yapsınlar.',yok
'42  toshiba regza 42av635 lc tv yi yaptigi kampanya ile 3 ay ertelemeli 12 ay taksitle piyasa fiyatinin 400 tl asagisina satan, sattigi lcd tv nin arabaya yuklenilirken farkedilen kutusundaki -muhtemelen nakliye sirasinda yedigi sert bir darbeden dolayi - devasa deligi gorup nedir bu dendiginde hemen degistiren pek bi sukela teknolojik market. en azindan izmir forum bornovadaki boyle.',yok
'fatura ve sevk adresinin farkli olmasi gibi gayet basit bir istegi secenek olarak sunmasina ragmen faturayi ve urunu dogru adrese gondermeyi beceremeyen bir sanal alisveris sitesine sahip sirket.',yok
'ciddi bir ps3 kampanyası yapmışlar, bir bityeniği vardır diye düşündüm ama henüz bulamadım.. http://www.bimeks.com.tr/…iling/26temmuz/2010-1.htm',yok
